Chromosome	Compartment	Nuc_Category	Sites	Polymorphic	Pi_sum	Pi_mean	Pi_component	Poly_fraction
Chr_02	nonfirst_exon_4fold	C	46868	11863	2120.761694	0.04524967	0.01006613	0.253115
Chr_02	nonfirst_exon_4fold	G	50352	13824	2533.176978	0.05030936	0.01202364	0.274547
Chr_02	nonfirst_exon_4fold	AT	108951	3984	669.056895	0.00614090	0.00317566	0.036567
Chr_02	nonfirst_exon_4fold	CG	4512	3079	597.552056	0.13243618	0.00283626	0.682402
Chr_03	intergenic	all	6853751	514615	82542.350674	0.01204338	0.01204338	0.075085
Chr_03	intergenic	C	1318421	201437	32356.356498	0.02454175	0.00472097	0.152787
Chr_03	intergenic	G	1332979	202293	32302.859395	0.02423358	0.00471317	0.151760
Chr_03	intergenic	AT	4139531	74454	11852.535754	0.00286326	0.00172935	0.017986
Chr_03	intergenic	CG	62820	36431	6030.599026	0.09599807	0.00087990	0.579927
Chr_03	intergenic_upstream_10kb	all	4000595	375112	61682.695838	0.01541838	0.01541838	0.093764
Chr_03	intergenic_upstream_10kb	C	745430	145282	23876.354546	0.03203031	0.00596820	0.194897
Chr_03	intergenic_upstream_10kb	G	745092	146204	24162.713134	0.03242917	0.00603978	0.196223
Chr_03	intergenic_upstream_10kb	AT	2469959	58736	9460.504179	0.00383023	0.00236477	0.023780
Chr_03	intergenic_upstream_10kb	CG	40114	24890	4183.123979	0.10428090	0.00104563	0.620482
Chr_03	intergenic_upstream_2kb	all	1639485	164074	28061.595760	0.01711610	0.01711610	0.100077
Chr_03	intergenic_upstream_2kb	C	298470	62596	10640.889914	0.03565146	0.00649039	0.209723
Chr_03	intergenic_upstream_2kb	G	298859	63129	10876.695313	0.03639407	0.00663421	0.211233
Chr_03	intergenic_upstream_2kb	AT	1024880	27278	4559.524455	0.00444884	0.00278107	0.026616
Chr_03	intergenic_upstream_2kb	CG	17276	11071	1984.486077	0.11486953	0.00121043	0.640831
Chr_03	intron	all	945152	96960	17051.755154	0.01804128	0.01804128	0.102587
Chr_03	intron	C	170698	35655	6278.198646	0.03677957	0.00664253	0.208878
Chr_03	intron	G	185749	37925	6657.174804	0.03583963	0.00704350	0.204173
Chr_03	intron	AT	577796	16432	2875.975716	0.00497749	0.00304287	0.028439
Chr_03	intron	CG	10909	6948	1240.405987	0.11370483	0.00131239	0.636905
Chr_03	exon_all	all	1561620	105225	19096.726744	0.01222879	0.01222879	0.067382
Chr_03	exon_all	C	372644	44363	8100.771574	0.02173863	0.00518742	0.119049
Chr_03	exon_all	G	417597	41555	7483.225421	0.01791973	0.00479196	0.099510
Chr_03	exon_all	AT	752905	9742	1706.647081	0.00226675	0.00109287	0.012939
Chr_03	exon_all	CG	18474	9565	1806.082669	0.09776349	0.00115654	0.517755
Chr_03	first_exon_4fold	all	94025	15640	3015.749746	0.03207391	0.03207391	0.166339
Chr_03	first_exon_4fold	C	29384	6009	1138.868344	0.03875811	0.01211240	0.204499
Chr_03	first_exon_4fold	G	25911	6095	1175.677867	0.04537370	0.01250389	0.235228
Chr_03	first_exon_4fold	AT	35662	1375	257.809391	0.00722925	0.00274192	0.038556
Chr_03	first_exon_4fold	CG	3068	2161	443.394144	0.14452221	0.00471570	0.704368
Chr_03	nonfirst_exon_4fold	all	135743	21841	4073.747584	0.03001074	0.03001074	0.160900
Chr_03	nonfirst_exon_4fold	C	31087	7953	1477.067434	0.04751399	0.01088135	0.255830
Chr_03	nonfirst_exon_4fold	G	34064	9160	1707.002843	0.05011164	0.01257526	0.268906
Chr_03	nonfirst_exon_4fold	AT	67564	2656	482.287580	0.00713823	0.00355295	0.039311
Chr_03	nonfirst_exon_4fold	CG	3028	2072	407.389726	0.13454086	0.00300118	0.684280
Chr_04	intergenic	all	4392894	359015	55309.963587	0.01259078	0.01259078	0.081726
Chr_04	intergenic	C	855535	141987	21825.562863	0.02551101	0.00496838	0.165963
Chr_04	intergenic	G	861460	140973	21862.393542	0.02537830	0.00497676	0.163644
Chr_04	intergenic	AT	2633054	51153	7719.344986	0.00293171	0.00175723	0.019427
Chr_04	intergenic	CG	42845	24902	3902.662196	0.09108793	0.00088840	0.581211
Chr_04	intergenic_upstream_10kb	all	5274682	521736	87298.267324	0.01655043	0.01655043	0.098913
Chr_04	intergenic_upstream_10kb	C	988121	201764	33620.810537	0.03402499	0.00637400	0.204190
Chr_04	intergenic_upstream_10kb	G	988281	202280	33890.674802	0.03429255	0.00642516	0.204679
Chr_04	intergenic_upstream_10kb	AT	3242807	82358	13666.780719	0.00421449	0.00259102	0.025397
Chr_04	intergenic_upstream_10kb	CG	55473	35334	6120.001266	0.11032396	0.00116026	0.636959
Chr_04	intergenic_upstream_2kb	all	2546451	271727	46731.320179	0.01835155	0.01835155	0.106708
Chr_04	intergenic_upstream_2kb	C	465287	103429	17749.623206	0.03814769	0.00697034	0.222291
Chr_04	intergenic_upstream_2kb	G	467887	103841	17816.997150	0.03807970	0.00699680	0.221936
Chr_04	intergenic_upstream_2kb	AT	1584479	45442	7784.024303	0.00491267	0.00305681	0.028679
Chr_04	intergenic_upstream_2kb	CG	28798	19015	3380.675520	0.11739272	0.00132760	0.660289
Chr_04	intron	all	1681447	184910	32474.647196	0.01931351	0.01931351	0.109971
Chr_04	intron	C	308136	68075	11922.741406	0.03869311	0.00709076	0.220925
Chr_04	intron	G	336895	72537	12795.200074	0.03797979	0.00760964	0.215310
Chr_04	intron	AT	1015580	30758	5310.894498	0.00522942	0.00315853	0.030286
Chr_04	intron	CG	20836	13540	2445.811218	0.11738391	0.00145459	0.649837
Chr_04	exon_all	all	2976987	201734	35478.231182	0.01191750	0.01191750	0.067764
Chr_04	exon_all	C	707059	84790	14968.362416	0.02116989	0.00502802	0.119919
Chr_04	exon_all	G	808266	79889	13912.893366	0.01721326	0.00467348	0.098840
Chr_04	exon_all	AT	1425249	18708	3200.070063	0.00224527	0.00107494	0.013126
Chr_04	exon_all	CG	36413	18347	3396.905336	0.09328826	0.00114105	0.503859
Chr_04	first_exon_4fold	all	166287	28393	5281.600219	0.03176196	0.03176196	0.170747
Chr_04	first_exon_4fold	C	51939	10912	1998.951682	0.03848653	0.01202109	0.210093
Chr_04	first_exon_4fold	G	46440	10883	2016.645174	0.04342475	0.01212750	0.234345
Chr_04	first_exon_4fold	AT	62140	2650	481.673742	0.00775143	0.00289664	0.042646
Chr_04	first_exon_4fold	CG	5768	3948	784.329621	0.13597948	0.00471672	0.684466
Chr_04	nonfirst_exon_4fold	all	270440	44155	8143.901583	0.03011352	0.03011352	0.163271
Chr_04	nonfirst_exon_4fold	C	62201	15997	2934.390079	0.04717593	0.01085043	0.257182
Chr_04	nonfirst_exon_4fold	G	66958	18568	3451.713013	0.05155042	0.01276332	0.277308
Chr_04	nonfirst_exon_4fold	AT	134970	5243	908.627737	0.00673207	0.00335981	0.038846
Chr_04	nonfirst_exon_4fold	CG	6311	4347	849.170754	0.13455407	0.00313996	0.688797
Chr_05	intergenic	all	6447964	556119	88419.051525	0.01371271	0.01371271	0.086247
Chr_05	intergenic	C	1259919	219348	34933.922962	0.02772712	0.00541782	0.174097
Chr_05	intergenic	G	1251310	218360	34865.403633	0.02786312	0.00540720	0.174505
Chr_05	intergenic	AT	3872564	79657	12362.174728	0.00319225	0.00191722	0.020570
Chr_05	intergenic	CG	64171	38754	6257.550201	0.09751368	0.00097047	0.603918
Chr_05	intergenic_upstream_10kb	all	4411147	426246	69930.491731	0.01585313	0.01585313	0.096629
Chr_05	intergenic_upstream_10kb	C	825712	164626	27114.866587	0.03283816	0.00614690	0.199375
Chr_05	intergenic_upstream_10kb	G	827886	165774	27211.762505	0.03286897	0.00616886	0.200238
Chr_05	intergenic_upstream_10kb	AT	2711127	67001	10789.000652	0.00397953	0.00244585	0.024713
Chr_05	intergenic_upstream_10kb	CG	46422	28845	4814.861987	0.10371940	0.00109152	0.621365
Chr_05	intergenic_upstream_2kb	all	1884349	198130	33513.645902	0.01778526	0.01778526	0.105145
Chr_05	intergenic_upstream_2kb	C	346008	76032	12953.794427	0.03743785	0.00687441	0.219741
Chr_05	intergenic_upstream_2kb	G	345495	76166	12893.023975	0.03731754	0.00684216	0.220455
Chr_05	intergenic_upstream_2kb	AT	1172084	32618	5372.136158	0.00458341	0.00285092	0.027829
Chr_05	intergenic_upstream_2kb	CG	20762	13314	2294.691342	0.11052362	0.00121776	0.641268
Chr_05	intron	all	1197939	127231	21991.110513	0.01835745	0.01835745	0.106208
Chr_05	intron	C	219274	47396	8167.368101	0.03724732	0.00681785	0.216150
Chr_05	intron	G	237875	49629	8610.767104	0.03619871	0.00718798	0.208635
Chr_05	intron	AT	726248	21030	3597.045460	0.00495292	0.00300270	0.028957
Chr_05	intron	CG	14542	9176	1615.929849	0.11112157	0.00134892	0.631000
Chr_05	exon_all	all	1780361	116253	20195.675464	0.01134358	0.01134358	0.065297
Chr_05	exon_all	C	427378	49228	8633.736495	0.02020164	0.00484943	0.115186
Chr_05	exon_all	G	481625	45706	7864.418864	0.01632893	0.00441732	0.094900
Chr_05	exon_all	AT	849599	10603	1764.550426	0.00207692	0.00099112	0.012480
Chr_05	exon_all	CG	21759	10716	1932.969679	0.08883541	0.00108572	0.492486
Chr_05	first_exon_4fold	all	103721	17131	3208.748695	0.03093635	0.03093635	0.165164
Chr_05	first_exon_4fold	C	33300	6509	1199.420055	0.03601862	0.01156391	0.195465
Chr_05	first_exon_4fold	G	29717	6718	1253.549817	0.04218292	0.01208579	0.226066
Chr_05	first_exon_4fold	AT	37131	1463	284.983637	0.00767509	0.00274760	0.039401
Chr_05	first_exon_4fold	CG	3573	2441	470.795186	0.13176468	0.00453905	0.683179
Chr_05	nonfirst_exon_4fold	all	158082	24729	4452.565395	0.02816618	0.02816618	0.156431
Chr_05	nonfirst_exon_4fold	C	36617	8993	1618.974575	0.04421374	0.01024136	0.245596
Chr_05	nonfirst_exon_4fold	G	39538	10456	1891.995180	0.04785258	0.01196844	0.264454
Chr_05	nonfirst_exon_4fold	AT	78285	2878	482.246248	0.00616014	0.00305061	0.036763
Chr_05	nonfirst_exon_4fold	CG	3642	2402	459.349392	0.12612559	0.00290577	0.659528
Chr_06	intergenic	all	4806230	390988	62522.653284	0.01300867	0.01300867	0.081350
Chr_06	intergenic	C	924450	153107	24450.371290	0.02644856	0.00508722	0.165620
Chr_06	intergenic	G	939592	154743	24682.971282	0.02626988	0.00513562	0.164692
Chr_06	intergenic	AT	2896949	56061	8887.197925	0.00306778	0.00184910	0.019352
Chr_06	intergenic	CG	45239	27077	4502.112788	0.09951840	0.00093672	0.598532
Chr_06	intergenic_upstream_10kb	all	4829198	474555	78452.396756	0.01624543	0.01624543	0.098268
Chr_06	intergenic_upstream_10kb	C	895998	182462	30171.500767	0.03367363	0.00624772	0.203641
Chr_06	intergenic_upstream_10kb	G	903036	183674	30342.777394	0.03360085	0.00628319	0.203396
Chr_06	intergenic_upstream_10kb	AT	2979341	75802	12344.351992	0.00414332	0.00255619	0.025443
Chr_06	intergenic_upstream_10kb	CG	50823	32617	5593.766603	0.11006368	0.00115832	0.641776
Chr_06	intergenic_upstream_2kb	all	2367049	250098	42312.120284	0.01787547	0.01787547	0.105658
Chr_06	intergenic_upstream_2kb	C	432378	94921	16064.887060	0.03715473	0.00678688	0.219532
Chr_06	intergenic_upstream_2kb	G	434075	95466	16108.616242	0.03711021	0.00680536	0.219930
Chr_06	intergenic_upstream_2kb	AT	1473904	41934	7011.982566	0.00475742	0.00296233	0.028451
Chr_06	intergenic_upstream_2kb	CG	26692	17777	3126.634416	0.11713751	0.00132090	0.666005
Chr_06	intron	all	1503628	167744	28457.386363	0.01892582	0.01892582	0.111560
Chr_06	intron	C	278042	61731	10496.619136	0.03775192	0.00698086	0.222020
Chr_06	intron	G	303677	65832	11181.068776	0.03681895	0.00743606	0.216783
Chr_06	intron	AT	902945	27699	4610.214690	0.00510575	0.00306606	0.030676
Chr_06	intron	CG	18964	12482	2169.483761	0.11440011	0.00144283	0.658194
Chr_06	exon_all	all	2536862	175202	30421.576514	0.01199181	0.01199181	0.069062
Chr_06	exon_all	C	603845	73947	12902.573735	0.02136736	0.00508604	0.122460
Chr_06	exon_all	G	687944	69137	11885.673938	0.01727710	0.00468519	0.100498
Chr_06	exon_all	AT	1214541	15809	2683.371047	0.00220937	0.00105775	0.013016
Chr_06	exon_all	CG	30532	16309	2949.957793	0.09661856	0.00116284	0.534161
Chr_06	first_exon_4fold	all	146848	26502	4967.723209	0.03382902	0.03382902	0.180472
Chr_06	first_exon_4fold	C	46272	10107	1873.641762	0.04049191	0.01275906	0.218426
Chr_06	first_exon_4fold	G	42545	10272	1910.419256	0.04490350	0.01300950	0.241438
Chr_06	first_exon_4fold	AT	52818	2353	433.688406	0.00821100	0.00295332	0.044549
Chr_06	first_exon_4fold	CG	5213	3770	749.973785	0.14386606	0.00510714	0.723192
Chr_06	nonfirst_exon_4fold	all	227760	38197	6774.148496	0.02974249	0.02974249	0.167707
Chr_06	nonfirst_exon_4fold	C	51756	13866	2420.566721	0.04676881	0.01062771	0.267911
Chr_06	nonfirst_exon_4fold	G	56147	16177	2897.794556	0.05161085	0.01272302	0.288119
Chr_06	nonfirst_exon_4fold	AT	114627	4421	759.285029	0.00662396	0.00333371	0.038569
Chr_06	nonfirst_exon_4fold	CG	5230	3733	696.502190	0.13317441	0.00305805	0.713767
Chr_07	intergenic	all	5489252	407713	62710.704389	0.01142427	0.01142427	0.074275
Chr_07	intergenic	C	1061024	160541	24783.177208	0.02335779	0.00451486	0.151308
Chr_07	intergenic	G	1058555	159911	24556.829229	0.02319844	0.00447362	0.151065
Chr_07	intergenic	AT	3319988	58715	8858.810341	0.00266833	0.00161385	0.017685
Chr_07	intergenic	CG	49685	28546	4511.887611	0.09080985	0.00082195	0.574540
Chr_07	intergenic_upstream_10kb	all	3774256	353239	57651.477053	0.01527492	0.01527492	0.093592
Chr_07	intergenic_upstream_10kb	C	712004	137845	22504.763731	0.03160764	0.00596270	0.193601
Chr_07	intergenic_upstream_10kb	G	709190	137523	22506.003760	0.03173480	0.00596303	0.193916
Chr_07	intergenic_upstream_10kb	AT	2314937	54391	8750.419678	0.00377998	0.00231845	0.023496
Chr_07	intergenic_upstream_10kb	CG	38125	23480	3890.289884	0.10204039	0.00103074	0.615869
Chr_07	intergenic_upstream_2kb	all	1513466	156261	26547.313983	0.01754074	0.01754074	0.103247
Chr_07	intergenic_upstream_2kb	C	278285	60148	10198.396722	0.03664731	0.00673844	0.216138
Chr_07	intergenic_upstream_2kb	G	279675	60546	10327.882323	0.03692816	0.00682399	0.216487
Chr_07	intergenic_upstream_2kb	AT	939309	25098	4205.809787	0.00447756	0.00277893	0.026720
Chr_07	intergenic_upstream_2kb	CG	16197	10469	1815.225150	0.11207169	0.00119938	0.646354
Chr_07	intron	all	944058	102390	17422.682385	0.01845510	0.01845510	0.108457
Chr_07	intron	C	173414	38257	6459.107607	0.03724675	0.00684185	0.220611
Chr_07	intron	G	185321	40071	6863.565167	0.03703609	0.00727028	0.216225
Chr_07	intron	AT	574012	16772	2819.346184	0.00491165	0.00298641	0.029219
Chr_07	intron	CG	11311	7290	1280.663427	0.11322283	0.00135655	0.644505
Chr_07	exon_all	all	1335032	93543	15904.076990	0.01191288	0.01191288	0.070068
Chr_07	exon_all	C	312456	38975	6657.025112	0.02130548	0.00498642	0.124738
Chr_07	exon_all	G	356701	36982	6225.069239	0.01745179	0.00466286	0.103678
Chr_07	exon_all	AT	649211	8834	1458.597546	0.00224672	0.00109256	0.013607
Chr_07	exon_all	CG	16664	8752	1563.385092	0.09381812	0.00117105	0.525204
Chr_07	first_exon_4fold	all	79067	13069	2403.200912	0.03039449	0.03039449	0.165290
Chr_07	first_exon_4fold	C	23439	4909	890.592719	0.03799619	0.01126377	0.209437
Chr_07	first_exon_4fold	G	22083	5218	942.336587	0.04267249	0.01191820	0.236290
Chr_07	first_exon_4fold	AT	30982	1196	220.986646	0.00713274	0.00279493	0.038603
Chr_07	first_exon_4fold	CG	2563	1746	349.284960	0.13627973	0.00441758	0.681233
Chr_07	nonfirst_exon_4fold	all	112583	18375	3267.459564	0.02902267	0.02902267	0.163213
Chr_07	nonfirst_exon_4fold	C	25944	6728	1180.787266	0.04551292	0.01048815	0.259328
Chr_07	nonfirst_exon_4fold	G	27991	7739	1386.787592	0.04954405	0.01231791	0.276482
Chr_07	nonfirst_exon_4fold	AT	55987	2080	355.387247	0.00634767	0.00315667	0.037151
Chr_07	nonfirst_exon_4fold	CG	2661	1828	344.497459	0.12946165	0.00305994	0.686960
Chr_08	intergenic	all	6545509	529963	85010.596608	0.01298762	0.01298762	0.080966
Chr_08	intergenic	C	1267155	208846	33461.014363	0.02640641	0.00511206	0.164815
Chr_08	intergenic	G	1261803	207512	33265.128457	0.02636317	0.00508213	0.164457
Chr_08	intergenic	AT	3956175	76739	12210.943545	0.00308655	0.00186555	0.019397
Chr_08	intergenic	CG	60376	36866	6073.510242	0.10059478	0.00092789	0.610607
Chr_08	intergenic_upstream_10kb	all	6917738	694364	110449.932635	0.01596619	0.01596619	0.100374
Chr_08	intergenic_upstream_10kb	C	1285330	268263	42660.606809	0.03319039	0.00616684	0.208711
Chr_08	intergenic_upstream_10kb	G	1294033	269574	42768.414573	0.03305048	0.00618243	0.208321
Chr_08	intergenic_upstream_10kb	AT	4264948	110143	17359.492593	0.00407027	0.00250942	0.025825
Chr_08	intergenic_upstream_10kb	CG	73427	46384	7661.418660	0.10434062	0.00110750	0.631702
Chr_08	intergenic_upstream_2kb	all	3184658	340070	55733.571171	0.01750065	0.01750065	0.106784
Chr_08	intergenic_upstream_2kb	C	580876	129575	21219.570037	0.03653029	0.00666306	0.223068
Chr_08	intergenic_upstream_2kb	G	585797	130309	21296.725830	0.03635513	0.00668729	0.222447
Chr_08	intergenic_upstream_2kb	AT	1982103	56675	9179.813528	0.00463135	0.00288251	0.028593
Chr_08	intergenic_upstream_2kb	CG	35882	23511	4037.461776	0.11252053	0.00126779	0.655231
Chr_08	intron	all	1828071	200139	33348.879747	0.01824266	0.01824266	0.109481
Chr_08	intron	C	336636	74118	12379.007405	0.03677268	0.00677162	0.220173
Chr_08	intron	G	362647	77972	12974.068189	0.03577603	0.00709714	0.215008
Chr_08	intron	AT	1106452	33600	5546.014017	0.00501243	0.00303381	0.030367
Chr_08	intron	CG	22336	14449	2449.790136	0.10967900	0.00134010	0.646893
Chr_08	exon_all	all	3156527	219302	35975.200199	0.01139708	0.01139708	0.069476
Chr_08	exon_all	C	757222	93326	15221.330842	0.02010154	0.00482218	0.123248
Chr_08	exon_all	G	853801	85601	13981.344314	0.01637541	0.00442934	0.100259
Chr_08	exon_all	AT	1506426	20070	3299.305996	0.00219015	0.00104523	0.013323
Chr_08	exon_all	CG	39078	20305	3473.219047	0.08887914	0.00110033	0.519602
Chr_08	first_exon_4fold	all	186181	33165	5736.214532	0.03080988	0.03080988	0.178133
Chr_08	first_exon_4fold	C	60006	12821	2148.463224	0.03580414	0.01153965	0.213662
Chr_08	first_exon_4fold	G	52997	12704	2220.812942	0.04190450	0.01192825	0.239712
Chr_08	first_exon_4fold	AT	66438	2929	506.719880	0.00762696	0.00272165	0.044086
Chr_08	first_exon_4fold	CG	6740	4711	860.218486	0.12762886	0.00462033	0.698961
Chr_08	nonfirst_exon_4fold	all	278623	46050	7815.881455	0.02805182	0.02805182	0.165277
Chr_08	nonfirst_exon_4fold	C	63536	16809	2877.773946	0.04529360	0.01032856	0.264559
Chr_08	nonfirst_exon_4fold	G	69963	19348	3275.268807	0.04681430	0.01175520	0.276546
Chr_08	nonfirst_exon_4fold	AT	138719	5469	910.297223	0.00656217	0.00326713	0.039425
Chr_08	nonfirst_exon_4fold	CG	6405	4424	752.541479	0.11749281	0.00270093	0.690710
Chr_09	intergenic	all	5121633	391208	65675.327790	0.01282312	0.01282312	0.076383
Chr_09	intergenic	C	995327	153821	25749.591454	0.02587048	0.00502761	0.154543
Chr_09	intergenic	G	991651	153477	25773.481267	0.02599048	0.00503228	0.154769
Chr_09	intergenic	AT	3089087	56380	9361.610178	0.00303054	0.00182786	0.018251
Chr_09	intergenic	CG	45568	27530	4790.644892	0.10513178	0.00093537	0.604152
Chr_09	intergenic_upstream_10kb	all	4017465	402930	67872.004309	0.01689424	0.01689424	0.100295
Chr_09	intergenic_upstream_10kb	C	760392	157036	26497.702282	0.03484742	0.00659563	0.206520
Chr_09	intergenic_upstream_10kb	G	759375	157607	26513.759598	0.03491524	0.00659962	0.207548
Chr_09	intergenic_upstream_10kb	AT	2456507	61920	10263.179463	0.00417796	0.00255464	0.025207
Chr_09	intergenic_upstream_10kb	CG	41191	26367	4597.362965	0.11161086	0.00114434	0.640116
Chr_09	intergenic_upstream_2kb	all	1725986	187459	32262.000173	0.01869192	0.01869192	0.108610
Chr_09	intergenic_upstream_2kb	C	316917	72234	12431.607349	0.03922670	0.00720261	0.227927
Chr_09	intergenic_upstream_2kb	G	319407	72407	12511.166450	0.03916998	0.00724871	0.226692
Chr_09	intergenic_upstream_2kb	AT	1071202	30467	5098.498369	0.00475960	0.00295396	0.028442
Chr_09	intergenic_upstream_2kb	CG	18460	12351	2220.728006	0.12029946	0.00128664	0.669068
Chr_09	intron	all	1065616	117956	21010.614631	0.01971687	0.01971687	0.110693
Chr_09	intron	C	193751	43609	7807.259451	0.04029532	0.00732652	0.225078
Chr_09	intron	G	213472	46353	8278.055811	0.03877818	0.00776833	0.217139
Chr_09	intron	AT	645600	19656	3418.496101	0.00529507	0.00320800	0.030446
Chr_09	intron	CG	12793	8338	1506.803268	0.11778342	0.00141402	0.651763
